Sample;Density;ModulusOfElasticity;PoissonsRatio
Yttrium, Y;4.47;63.5;0.243
Ytterbium, Yb;6.98;23.7;0.207
Corundum, Aluminum Oxide, Alumina, 99.9%, Al2O3;3.96;370.0;0.22
Alumina, alpha Al2O3, 99.5%;3.9;370.0;0.22
Alumina, alpha Al2O3, 96%;3.72;303.0;0.21
Niobium Carbide, NbC;7.71;433.5;0.22
Tantalum Carbide, TaC;14.3;481.5;0.24
Vanadium Carbide, VC;5.71;344.0;0.22
Mullite, 3Al2O3-2SiO2;2.8;150.0;0.25
Silicon Nitride, reaction sintered;3.25;158.0;0.26
Silicon Nitride;3.2;290.0;0.25
Silicon Nitride, SRBSN;3.25;290.0;0.23
Silicon Nitride, Sialon;3.25;300.0;0.23
Titanium Nitride (TiN) Coating;5.22;600.0;0.25
Steatite (Magnesium Silicon Oxide);2.5;100.0;0.24
CoorsTek AD-85 Alumina (nom. 85% Al2O3);3.42;221.0;0.22
CoorsTek AD-90 Alumina (nom. 90% Al2O3);3.6;276.0;0.22
CoorsTek AD-94 Alumina (nom. 94% Al2O3);3.7;303.0;0.21
CoorsTek AD-96 Alumina (nom. 96% Al2O3);3.72;303.0;0.21
CoorsTek FG-995 Alumina (nom. 98.5% Al2O3);3.8;350.0;0.22
CoorsTek AD-995 Alumina (nom. 99.5% Al2O3);3.9;370.0;0.22
CoorsTek AD-998 Alumina(nom. 99.8% Al2O3);3.92;370.0;0.22
CoorsTek PlasmaPure™ AD-998 Alumina (nom. 99.8% Al2O3);3.93;370.0;0.22
Advanced Ceramics ZEMAT ACL 2090 - Zero Expansion Glass-Ceramic;2.53;89.6;0.24
ERG Aerospace Duocel Silicon Carbide Foam;0.27;4.82;0.22
CeramTec 645 Steatite (MgO-SiO2);2.7;107.0;0.23
CeramTec 771 94% Alumina (Al2O3);3.6;281.0;0.24
CeramTec V 38 Alumina, 96.0% Al2O3-SiO2;3.75;350.0;0.23
CeramTec B 601 Alumina, 98.5%;3.83;320.0;0.22
CeramTec B 40 Alumina, 99.1%;3.82;360.0;0.23
CeramTec V 679 Alumina, 99.7%;3.9;390.0;0.23
CeramTec AT 79 Alumina, 99.6%;3.95;390.0;0.23
CeramTec RK 87 Alumina, 99.8%;3.96;406.0;0.23
CeramTec DC 25 Dispersion Ceramic, Al2O3-ZrO2;4.37;357.0;0.24
CeramTec DN 70 Dispersion Ceramic, Al2O3-ZrO2;4.01;360.0;0.23
CeramTec SL 303 Silicon Nitride, SiAION+SiC;3.25;345.0;0.25
CeramTec Rubalit IS 95 Alumina;3.73;330.0;0.23
CeramTec Rubalit IS 95 Brown Alumina;3.72;300.0;0.23
CeramTec Rubalit A 1896 Alumina;3.73;330.0;0.23
CeramTec 665 Steatite, MgO•SiO2;2.8;117.0;0.25
CeramTec 614/698 Alumina, 96%;3.7;276.0;0.24
CeramTec Rubalit A 1999.5 Alumina, 99.7%;3.88;350.0;0.23
CeramTec 950 Zirconia Toughened Alumina (ZTA), Al2O3•ZrO2;4.4;289.0;0.22
CeramTec Rubalit A 1894 Alumina, 94%;3.7;320.0;0.22
CeramTec Rubalit A 1898 Alumina, 98%;3.8;350.0;0.22
CoorsTek SAPPHAL Advanced Alumina;3.99;395.0;0.23
CoorsTek ADS 11 Advanced Alumina;3.9;360.0;0.24
CoorsTek ESD Alumina Ceramic;3.85;370.0;0.22
CoorsTek UltraSiC™ SC-90 Plus Silicon Carbide (SiC);3.15;410.0;0.21
CoorsTek UltraSiC™ LP SC-52 Silicon Carbide (SiC);3.22;375.0;0.21
CoorsTek ADS-12 Min. 99.5% Al2O3;3.9;380.0;0.22
CoorsTek AD-995-I2 Nom. 99.5% Al2O3;3.9;370.0;0.22
CoorsTek AD-995-LT Nom. 99.5% Al2O3;3.9;370.0;0.22
CoorsTek AD-995-I4 Min. 99.5% Al2O3;3.9;380.0;0.22
CoorsTek AD-996-SI Min. 99.5% Al2O3;3.9;380.0;0.22
CoorsTek PLASMAPURE™ AD-998-I2 Min. 99.8% Al2O3;3.92;380.0;0.22
CoorsTek PLASMAPURE-UC™ SA-999-I Min. 99.9% Al2O3;3.92;386.0;0.22
CoorsTek Cercom ALN S-1 Direct Sintered High Resistance;3.29;330.0;0.23
CoorsTek Cercom ALN HP Hot Pressed;3.25;330.0;0.23
CoorsTek Cercom PAD EBON-A Pressure Assisted Densification Black Alumina;3.93;390.0;0.22
CoorsTek UltraSiC™ S (SC-90) Direct Sintered Silicon Carbide;3.15;410.0;0.21
CoorsTek AD-996 99.6% Alumina;3.9;370.0;0.22
CoorsTek PlasmaPure-UC™ 99.9% Alumina;3.94;386.0;0.24
CoorsTek ACI-Ni6 Tungsten Carbide;14.9;607.0;0.25
CoorsTek ACI-Ni10 Tungsten Carbide;14.4;572.0;0.23
CoorsTek ACI-Co6 Tungsten Carbide;14.9;627.0;0.21
CoorsTek ACI-Co10 Tungsten Carbide;14.5;593.0;0.22
CoorsTek Z-PLUS™ 94 Zirconia-Impr. Alumina Ceramic Armor Material;3.7;303.0;0.21
CoorsTek FG-98 98% Alumina Ceramic Armor Material;3.8;350.0;0.22
CoorsTek CAP 4 98.5% Alumina Ceramic Armor Material;3.8;350.0;0.22
CoorsTek CAP 3 99.5% Alumina Ceramic Armor Material;3.9;370.0;0.22
CoorsTek ADOS-90R 91% Alumina Thick Film Substrate;3.72;310.0;0.24
CoorsTek ADS-96R 96% Alumina Thick Film Substrate;3.75;331.0;0.25
CoorsTek ADSR-96R DuraStrate™ 96% Alumina Thick Film;3.75;331.0;0.25
CoorsTek ADS-995R MidFilm™ 99.5% Alumina Thick Film;3.9;379.0;0.24
CoorsTek Hot Pressed Aluminum Nitride;3.26;330.0;0.25
Corning 7052 Alkali Barium Borosilicate Sealing Glass Powder;2.27;57.6;0.22
Corning 7056 Alkali Borosilicate Crushed/Powdered Glass;2.29;62.8;0.21
Corning 7070 Lithia Potash Borosilicate Crushed/Powdered Glass;2.13;51.0;0.22
Corning Gorilla Glass 3 Touch Screen Glass with NDR;2.39;69.3;0.22
Corning Antimicrobial Gorilla Glass Touch Screen Glass;2.39;69.3;0.22
Corning Gorilla Glass 5 Display Glass;2.43;76.7;0.21
Corning Gorilla Glass 6 Display Glass;2.4;77.0;0.21
Corning Gorilla Glass Victus™ Display Glass;2.4;77.0;0.22
Corning Large Cover Gorilla Glass Touch Screen Glass;2.44;71.7;0.21
Corning Polarcor™ Glass Polarizer, 633 nm Nominal Wavelength;2.41;58.6;0.21
Corning Polarcor™ Glass Polarizer, 800 nm Nominal Wavelength;2.41;58.6;0.21
Corning Polarcor™ Glass Polarizer, 900 nm Nominal Wavelength;2.41;58.6;0.21
Corning Polarcor™ Glass Polarizer, 1060 nm Nominal Wavelength;2.41;58.6;0.21
Corning Polarcor™ Glass Polarizer, 1310 nm Nominal Wavelength;2.41;58.6;0.21
Corning Polarcor™ Glass Polarizer, 1480 nm Nominal Wavelength;2.41;58.6;0.21
Corning Polarcor™ Glass Polarizer, 1550 nm Nominal Wavelength;2.41;58.6;0.21
Corning Polarcor™ Glass Polarizer, 2100 nm Nominal Wavelength;2.41;58.6;0.21
Corning Polarcor™ WIDE Band™ Glass Polarizer, 600 - 1100 nm Nominal Wavelength;2.41;58.6;0.21
Corning Polarcor™ WIDE Band™ Glass Polarizer, 1275 - 1635 nm Nominal Wavelength;2.41;58.6;0.21
