Sample;Density;ModulusOfElasticity;Class
Thermal Transfer Composites PRIMEX Cast™ MCX-1405™ Aluminum Silicon Carbide Composite, Reinforced;0.12775001038392844;0.09689922480620156;Ceramic
Thermal Transfer Composites PRIMEX Cast™ MCX-1605™ Aluminum Silicon Carbide Composite, Reinforced;0.1263654865908871;0.08217054263565891;Ceramic
CoorsTek Reaction Bonded Silicon Carbide, SCRB (SC-2);0.1415952483143423;0.30465116279069765;Ceramic
CoorsTek SC-DSG (SC-35) Graphite Loaded Sintered Silicon Carbide;0.12775001038392844;0.24031007751937983;Ceramic
CoorsTek SC-BNL (SC-42) Loaded Reaction Bonded Silicon Carbide;0.1323650896940664;0.11627906976744186;Ceramic
CoorsTek Pure SiC™ HR CVD Silicon Carbide, > 99.9995%;0.14667183555549404;0.3581395348837209;Ceramic
CoorsTek Pure SiC™ LR CVD Silicon Carbide, > 99.9995%;0.14667183555549404;0.3364341085271318;Ceramic
Specialty Materials SCS-6 Silicon Carbide Monofilament;0.13698016900420434;0.2945736434108527;Ceramic
Specialty Materials SCS-Ultra™ Silicon Carbide Fiber;0.14067223245231472;0.32170542635658916;Ceramic
M Cubed Technologies HSC-702 Aluminum-toughened Reaction Bonded Silicon Carbide;0.13790318486623193;0.2558139534883721;Ceramic
M Cubed Technologies SSC-FG Reaction-Bonded Silicon Carbide, Fine-Grained;0.13698016900420434;0.2558139534883721;Ceramic
M Cubed Technologies SSC-702 Reaction-Bonded Silicon Carbide;0.13698016900420434;0.2713178294573643;Ceramic
M Cubed Technologies SSC-903 Reaction-Bonded Silicon Carbide;0.13744167693521814;0.27906976744186046;Ceramic
M Cubed Technologies TSC-15 Titanium-alloyed Reaction Bonded Silicon Carbide;0.14297977210738366;0.3023255813953488;Ceramic
M Cubed Technologies RBBC-751 Reaction Bonded Boron Carbide;0.11667382003959738;0.2945736434108527;Ceramic
M Cubed Technologies ABC-501 Aluminum alloy-50% B4C Metal Matrix Composite;0.11759683590162497;0.16279069767441862;Ceramic
Solvay EF1812 Polycarbosilane Polymer, Pyrolized with T300 Carbon Fabric;0.09082937590282489;0.020465116279069766;Ceramic
Glass Fiber Reinforced Concrete;0.08621429659268694;0.012015503875968992;Ceramic
Concrete, Ceramic Dry;0.10467461383323871;0.019767441860465116;Ceramic
Concrete, Cinder;0.07236905866227311;0.023255813953488372;Ceramic
Concrete, Lightweight;0.04237104314637647;0.023255813953488372;Ceramic
Concrete, Heavyweight;0.2408194534823081;0.023255813953488372;Ceramic
Portland Cement;0.09129088383383867;0.008682170542635658;Ceramic
Portland Cement with Untreated Silica Fume;0.07790715383443864;0.007906976744186046;Ceramic
Portland Cement with Treated Silica Fume;0.07836866176545243;0.008914728682170543;Ceramic
Portland Cement with Untreated Silica Fume and Silane;0.08944485210978351;0.008449612403100775;Ceramic
Accuratus MACOR Machinable Glass Ceramic;0.1148277883155422;0.05186046511627907;Ceramic
Advanced Ceramics ACL 2088 Zinc Alumino-Silicate;0.1415952483143423;0.06511627906976744;Ceramic
Advanced Ceramics ZEMAT ACL 2090 - Zero Expansion Glass-Ceramic;0.11528929624655598;0.06945736434108526;Ceramic
Advanced Ceramics ACL 2087 Lithium Alumino-Silicate;0.10928969314337666;0.06410852713178294;Ceramic
Corning Pyroceram Code 9606 Glass Ceramic;0.11851985176365257;0.09302325581395349;Ceramic
Mateck Glass (BK7 Schott or analogous);0.1143662803845284;0.06279069767441861;Ceramic
Mateck Zero Expansion Glass - ZERODUR;0.11528929624655598;0.07054263565891472;Ceramic
Morgan Advanced Ceramics MACOR Mac-MGCW Technical Ceramic;0.1148277883155422;0.05271317829457364;Ceramic
Crystex Composites Mykroy/Mycalex MM 400 Machining Grade Glass-bonded Mica Composite;0.11851985176365257;0.05875968992248062;Ceramic
Crystex Composites Mykroy/Mycalex MM 500 Machining Grade Glass-bonded Mica Composite;0.1231349310737905;0.06410852713178294;Ceramic
Crystex Composites Mykroy/Mycalex MM 600 Machining Grade Glass-bonded Mica Composite;0.12775001038392844;0.056666666666666664;Ceramic
Crystex Composites Mykroy/Mycalex MM 800 Machining Grade Glass-bonded Mica Composite;0.1249809627978457;0.06147286821705426;Ceramic
Crystex Composites Mykroy/Mycalex MM 561 Molding Grade Glass-bonded Mica Composite;0.11851985176365257;0.06038759689922481;Ceramic
712-3 Nextrema Tinted Glass Ceramic/SCHOTT;0.11621231210858357;0.07131782945736434;Ceramic
712-6 Nextrema Translucent Blue-Grey Glass Ceramic/SCHOTT;0.1143662803845284;0.06666666666666667;Ceramic
712-8 Nextrema Opaque Grey Glass Ceramic/SCHOTT;0.1148277883155422;0.06511627906976744;Ceramic
724-3 Nextrema Transparent Glass Ceramic/SCHOTT;0.11575080417756979;0.07209302325581396;Ceramic
724-5 Nextrema Translucent White Glass Ceramic/SCHOTT;0.11390477245351462;0.06589147286821706;Ceramic
724-8 Nextrema Opaque White Glass Ceramic/SCHOTT;0.11575080417756979;0.06666666666666667;Ceramic
A-Glass Fiber, Generic;0.11113572486743184;0.053410852713178296;Ceramic
C-Glass Fiber, Generic;0.11575080417756979;0.053410852713178296;Ceramic
D-Glass Fiber, Generic;0.09590596314397662;0.04007751937984496;Ceramic
E-Glass Fiber, Generic;0.11713532797061117;0.05612403100775194;Ceramic
S-2 Glass Fiber;0.11205874072945943;0.06736434108527133;Ceramic
S-Glass Fiber, Generic;0.11344326452250082;0.06682170542635658;Ceramic
AR-Glass Fiber, Generic;0.1231349310737905;0.056666666666666664;Ceramic
E-CRGlas Fiber;0.1240579469358181;0.05604651162790698;Ceramic
R-Glass Fiber, Generic;0.11575080417756979;0.06627906976744186;Ceramic
Fiberglass Grade B;0.11344326452250082;0.053488372093023255;Ceramic
AGY ADVANTEX Generic Glass Fiber;0.11944286762568015;0.06201550387596899;Ceramic
AGY VeTron Glass Fiber;0.11390477245351462;0.06666666666666667;Ceramic
Saint-Gobain Quartzel Fused Quartz Textiles;0.10005953452310079;0.06046511627906977;Ceramic
Corning 7056 Alkali Borosilicate Crushed/Powdered Glass;0.10421310590222493;0.048682170542635655;Ceramic
Corning HPFS 7979 IR Grade High Purity Fused Silica;0.10005953452310079;0.056589147286821705;Ceramic
Corning 9754 Clear Germanate IR Transmitting Glass;0.16051707348590785;0.06511627906976744;Ceramic
Corning Gorilla Glass 3 Touch Screen Glass with NDR;0.10882818521236289;0.05372093023255814;Ceramic
Corning Gorilla Glass 5 Display Glass;0.11067421693641806;0.05945736434108527;Ceramic
Corning Gorilla Glass 6 Display Glass;0.10928969314337666;0.059689922480620154;Ceramic
Corning Large Cover Gorilla Glass Touch Screen Glass;0.11113572486743184;0.05558139534883721;Ceramic
Corning Polarcor™ Glass Polarizer, 633 nm Nominal Wavelength;0.10975120107439047;0.04542635658914729;Ceramic
Corning TSG Titania Silicate Low Expansion Glass;0.10052104245411457;0.05240310077519379;Ceramic
Corning Iris™ Display Glass;0.10928969314337666;0.05271317829457364;Ceramic
Corning Lotus™ NXT Display Glass;0.11805834383263876;0.06434108527131782;Ceramic
Corning Astra™ Alkaline Earth Boro-Aluminosilicate Display Glass;0.1148277883155422;0.06279069767441861;Ceramic
Corning Eagle XG Slim Display Glass;0.10836667728134908;0.057054263565891467;Ceramic
Corning Willow Flexible Display Glass;0.10928969314337666;0.05813953488372093;Ceramic
Goodfellow Vycor 7913 Glass;0.0991365186610732;0.05426356589147287;Ceramic
Schott AF 45 Thin Borosilicate Glass;0.1240579469358181;0.05116279069767442;Ceramic
Schott BOROFLOAT Borosilicate Float Glass;0.10144405831614216;0.04883720930232558;Ceramic
Schott D 263 Thin Borosilicate Glass;0.1143662803845284;0.056511627906976745;Ceramic
Schott BAFN6 5899485.317, Optical Glass;0.14482580383143887;0.059689922480620154;Ceramic
Schott BK7G18 520636.252, Optical Glass;0.1148277883155422;0.06356589147286822;Ceramic
Schott F2G12 621366.360, Optical Glass;0.16467064486503202;0.04496124031007752;Ceramic
Schott FK3 464658.227, Optical Glass;0.10329009004019735;0.03565891472868217;Ceramic
Schott K5G20 523568.259, Optical Glass;0.11805834383263876;0.05271317829457364;Ceramic
Schott LAK9G15 691548.353, Optical Glass;0.16144008934793544;0.08372093023255814;Ceramic
Schott LF5G15 584408.322, Optical Glass;0.14713334348650783;0.046511627906976744;Ceramic
Schott LF5G19 597399.330, Optical Glass;0.15082540693461818;0.043410852713178294;Ceramic
Schott N-BAF3 583466.297, Optical Glass;0.12728850245291468;0.06356589147286822;Ceramic
Schott N-LAF3 717480.414, Optical Glass;0.1895920731397769;0.07364341085271317;Ceramic
Schott N-PSK53 620635.360, Optical Glass;0.16467064486503202;0.06046511627906977;Ceramic
Schott N-SF19 667331.290, Optical Glass;0.1323650896940664;0.06821705426356589;Ceramic
Schott N-SF56 785261.328, Optical Glass;0.1499023910725906;0.07054263565891472;Ceramic
Schott N-SF64 706302.299, Optical Glass;0.13651866107319058;0.06821705426356589;Ceramic
Schott N-SK10 623570.364, Optical Glass;0.1665166765890872;0.06279069767441861;Ceramic
Schott N-SK15 623580.362, Optical Glass;0.1655936607270596;0.06511627906976744;Ceramic
Schott SF57HT 847238.551, Optical Glass;0.25281865968866674;0.04186046511627907;Ceramic
Schott SFL6 805254.337, Optical Glass;0.15405596245171474;0.07209302325581396;Ceramic
Schott SFL57 847236.355, Optical Glass;0.16236310520996303;0.07519379844961241;Ceramic
Schott FK5HTi 487705.245, Glass;0.11159723279844565;0.04806201550387597;Ceramic
Schott N-FK58 456909.365, Optical Glass;0.166978184520101;0.05426356589147287;Ceramic
Schott N-BK7HT 517642.251, Optical Glass;0.1143662803845284;0.06356589147286822;Ceramic
Schott P-BK7 516641.243, Optical Glass;0.11067421693641806;0.06589147286821706;Ceramic
Schott N-BAK4HT 569560.305, Optical Glass;0.1392877086592733;0.059689922480620154;Ceramic
Schott N-SK2HT 607567.355, Optical Glass;0.16236310520996303;0.06046511627906977;Ceramic
Schott P-SK57Q1 586595.301, Optical Glass;0.13744167693521814;0.07209302325581396;Ceramic
Schott P-SK58A 589612.297, Optical Glass;0.13559564521116296;0.07519379844961241;Ceramic
Schott P-SK60 610579.308, Optical Glass;0.14067223245231472;0.07674418604651162;Ceramic
Schott N-LAK33B 755523.422, Optical Glass;0.19328413658788726;0.09457364341085271;Ceramic
Schott P-LAK35 693532.385, Optical Glass;0.1762083431403769;0.07829457364341086;Ceramic
